method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.980,0.974,1.000,3,297.000
M2,0.996±0.000,0.982±0.000,1.000±0.000,168,134.033±5.642
M3,1.000,0.995,1.000,300,0.000
M4,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000
M5,0.996±0.000,0.982±0.000,1.000±0.000,166,134.033±0.180
M6,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000
M7,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000
