method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.979,0.966,0.000,1,299.000
M2,0.981±0.000,0.967±0.001,1.000±0.000,11,289.333±2.241
M3,1.000,0.989,1.000,300,0.000
M4,0.999±0.000,0.984±0.000,1.000±0.000,300,0.000±0.000
M5,0.999±0.000,0.982±0.000,1.000±0.000,300,0.000±0.000
M6,0.999±0.000,0.984±0.000,1.000±0.000,300,0.000±0.000
M7,0.999±0.000,0.983±0.000,1.000±0.000,300,0.000±0.000
