method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.772,0.809,0.000,1,25.000
M2,0.774±0.000,0.821±0.002,0.000±0.000,1,25.000±0.000
M3,0.070,0.065,0.000,1,25.000
M4,0.774±0.001,0.819±0.008,0.000±0.000,1,25.000±0.000
M5,0.772±0.000,0.809±0.000,0.000±0.000,1,25.000±0.000
M6,0.776±0.000,0.833±0.002,0.000±0.000,1,25.000±0.000
M7,0.996±0.000,0.975±0.002,1.000±0.000,26,0.000±0.000
