method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,1.000,1.000,1.000,26,0.000
M2,1.000±0.000,0.996±0.003,1.000±0.000,26,0.000±0.000
M3,1.000,1.000,1.000,26,0.000
M4,1.000±0.000,0.999±0.002,1.000±0.000,26,0.000±0.000
M5,0.999±0.000,0.994±0.000,1.000±0.000,26,0.000±0.000
M6,0.999±0.000,0.994±0.001,1.000±0.000,26,0.000±0.000
M7,1.000±0.000,1.000±0.000,1.000±0.000,26,0.000±0.000
