method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.980,0.972,0.000,1,299.000
M2,0.991±0.001,0.977±0.000,1.000±0.000,101,200.667±6.680
M3,1.000,0.993,1.000,300,0.000
M4,1.000±0.000,0.987±0.000,1.000±0.000,300,0.000±0.000
M5,0.987±0.000,0.976±0.000,1.000±0.000,62,238.467±0.499
M6,1.000±0.000,0.987±0.000,1.000±0.000,300,0.000±0.000
M7,1.000±0.000,0.986±0.000,0.967±0.180,300,0.000±0.000
