method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.979,0.958,0.000,1,299.000
M2,0.981±0.000,0.961±0.000,1.000±0.000,18,282.967±2.869
M3,-0.540,-0.378,0.000,1,299.000
M4,0.876±0.378,0.858±0.330,0.000±0.000,1,299.000±0.000
M5,0.979±0.000,0.960±0.000,0.000±0.000,1,299.000±0.000
M6,0.978±0.000,0.955±0.000,0.000±0.000,1,299.000±0.000
M7,0.999±0.000,0.974±0.000,1.000±0.000,300,0.000±0.000
