method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.980,0.970,0.000,1,299.000
M2,0.986±0.000,0.974±0.000,0.900±0.300,52,246.600±4.521
M3,1.000,0.993,1.000,300,0.000
M4,1.000±0.000,0.986±0.000,1.000±0.000,300,0.000±0.000
M5,0.982±0.000,0.974±0.000,0.967±0.180,16,284.000±0.000
M6,1.000±0.000,0.986±0.000,0.867±0.340,300,0.000±0.000
M7,1.000±0.000,0.986±0.000,0.000±0.000,300,0.000±0.000
