method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.772,0.809,0.000,1,25.000
M2,0.922±0.008,0.888±0.007,1.000±0.000,11,14.267±0.814
M3,1.000,1.000,1.000,26,0.000
M4,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000
M5,0.915±0.000,0.883±0.004,1.000±0.000,11,15.000±0.000
M6,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000
M7,1.000±0.000,1.000±0.001,1.000±0.000,26,0.000±0.000
