method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.985,0.968,1.000,48,252.000
M2,0.998±0.000,0.978±0.000,1.000±0.000,230,70.733±4.328
M3,1.000,0.987,1.000,300,0.000
M4,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000
M5,0.999±0.000,0.979±0.000,1.000±0.000,258,42.000±0.000
M6,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000
M7,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000
