method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.978,0.953,0.000,1,299.000
M2,0.980±0.000,0.959±0.000,1.000±0.000,8,292.967±2.415
M3,-0.540,-0.378,0.000,1,299.000
M4,0.825±0.455,0.809±0.396,0.000±0.000,1,299.000±0.000
M5,0.979±0.000,0.959±0.000,0.000±0.000,1,299.000±0.000
M6,0.978±0.000,0.952±0.000,0.000±0.000,1,299.000±0.000
M7,0.999±0.000,0.973±0.000,1.000±0.000,300,0.000±0.000
