method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.988,0.971,1.000,78,222.000
M2,0.999±0.000,0.981±0.000,1.000±0.000,272,28.967±3.038
M3,1.000,0.990,1.000,300,0.000
M4,0.999±0.000,0.982±0.000,1.000±0.000,300,0.000±0.000
M5,0.999±0.000,0.982±0.000,1.000±0.000,289,11.067±0.249
M6,0.999±0.000,0.982±0.000,1.000±0.000,300,0.000±0.000
M7,0.999±0.000,0.982±0.000,1.000±0.000,300,0.000±0.000
