method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.772,0.809,0.000,1,25.000
M2,0.970±0.004,0.926±0.006,1.000±0.000,18,8.400±0.663
M3,0.999,0.994,1.000,26,0.000
M4,1.000±0.000,0.999±0.003,1.000±0.000,26,0.000±0.000
M5,0.978±0.000,0.933±0.004,1.000±0.000,19,7.000±0.000
M6,1.000±0.000,0.998±0.003,1.000±0.000,26,0.000±0.000
M7,1.000±0.000,1.000±0.000,1.000±0.000,26,0.000±0.000
