method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.770,0.791,0.000,1,25.000
M2,0.795±0.007,0.821±0.004,1.000±0.000,2,23.733±0.442
M3,0.999,0.988,1.000,26,0.000
M4,0.999±0.000,0.988±0.001,1.000±0.000,26,0.000±0.000
M5,0.999±0.000,0.994±0.000,1.000±0.000,26,0.000±0.000
M6,0.999±0.000,0.989±0.003,1.000±0.000,26,0.000±0.000
M7,0.999±0.000,0.989±0.003,1.000±0.000,26,0.000±0.000
