method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,1.000,1.000,1.000,300,0.000
M2,1.000±0.000,0.991±0.000,1.000±0.000,300,0.000±0.000
M3,1.000,0.991,1.000,300,0.000
M4,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000
M5,1.000±0.000,0.986±0.000,1.000±0.000,300,0.000±0.000
M6,1.000±0.000,0.987±0.000,1.000±0.000,300,0.000±0.000
M7,1.000±0.000,0.988±0.000,1.000±0.000,300,0.000±0.000
