method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.979,0.963,0.000,1,299.000
M2,0.988±0.001,0.966±0.000,1.000±0.000,77,225.933±6.314
M3,0.999,0.980,1.000,300,0.000
M4,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000
M5,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000
M6,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000
M7,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000
