method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.774,0.815,0.000,1,25.000
M2,0.773±0.001,0.815±0.006,0.000±0.000,1,25.000±0.000
M3,0.070,0.065,0.000,1,25.000
M4,0.774±0.001,0.823±0.006,0.000±0.000,1,25.000±0.000
M5,0.771±0.000,0.797±0.000,0.000±0.000,1,25.000±0.000
M6,0.775±0.000,0.828±0.000,0.000±0.000,1,25.000±0.000
M7,0.998±0.000,0.983±0.003,1.000±0.000,26,0.000±0.000
