method,spearman,kendall,top1_acc,target_rank,target_rank_error
M1,0.979,0.960,0.000,1,299.000
M2,0.979±0.000,0.960±0.000,0.433±0.496,1,298.400±0.757
M3,0.348,0.228,0.000,1,299.000
M4,0.978±0.001,0.949±0.009,0.000±0.000,1,299.000±0.000
M5,0.978±0.000,0.953±0.000,0.000±0.000,1,299.000±0.000
M6,0.979±0.000,0.960±0.000,0.000±0.000,1,299.000±0.000
M7,0.999±0.000,0.979±0.000,1.000±0.000,300,0.000±0.000
