dataset,attacker_fraction_requested,attacker_fraction_effective,num_attackers,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M2,0.998±0.000,0.978±0.000,1.000±0.000,230,70.733±4.328,False
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M3,1.000,0.987,1.000,300,0.000,True
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M4,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M5,0.999±0.000,0.979±0.000,1.000±0.000,258,42.000±0.000,False
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M6,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.20,0.200,3,Car_1_unacc,300,M7,0.999±0.000,0.981±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M1,0.982,0.965,1.000,24,276.000,False
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M2,0.996±0.000,0.972±0.001,1.000±0.000,180,124.400±5.908,False
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M3,0.999,0.983,1.000,300,0.000,True
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M4,0.999±0.000,0.978±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M5,0.996±0.000,0.973±0.000,1.000±0.000,192,108.000±0.000,False
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M6,0.999±0.000,0.978±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.30,0.267,4,Car_1_unacc,300,M7,0.999±0.000,0.978±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M1,0.979,0.963,0.000,1,299.000,False
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M2,0.988±0.001,0.966±0.000,1.000±0.000,77,225.933±6.314,False
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M3,0.999,0.980,1.000,300,0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M4,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M5,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M6,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.40,0.400,6,Car_1_unacc,300,M7,0.999±0.000,0.977±0.000,1.000±0.000,300,0.000±0.000,True
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M1,0.979,0.958,0.000,1,299.000,False
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M2,0.981±0.000,0.961±0.000,1.000±0.000,18,282.967±2.869,False
car_evaluation,0.50,0.533,8,Car_1_unacc,300,M3,-0.540,-0.378,0.000,1,299.000,False
