dataset,attacker_fraction_requested,target_alt,clean_target_rank,method,spearman,kendall,top1_acc,target_rank,target_rank_error,target_blocked
car_evaluation,0.50,Car_1_unacc,300,EB3_MADConsensusTOPSIS,0.979,0.960,0.000,1,299.000,False
car_evaluation,0.50,Car_1_unacc,300,EB4_IndividualBordaTOPSIS,0.333,0.227,0.000,121,179.000,False
car_evaluation,0.50,Car_1_unacc,300,EB5_HuangLiGroupIdealTOPSIS,0.981,0.962,1.000,15,285.000,False
car_evaluation,0.60,Car_1_unacc,300,EB1_MedianTOPSIS,-0.540,-0.378,0.000,1,299.000,False
car_evaluation,0.60,Car_1_unacc,300,EB2_TrimmedMeanTOPSIS,0.979,0.956,0.000,1,299.000,False
car_evaluation,0.60,Car_1_unacc,300,EB3_MADConsensusTOPSIS,0.979,0.959,0.000,1,299.000,False
car_evaluation,0.60,Car_1_unacc,300,EB4_IndividualBordaTOPSIS,0.106,0.078,0.000,85,215.000,False
car_evaluation,0.60,Car_1_unacc,300,EB5_HuangLiGroupIdealTOPSIS,0.980,0.960,1.000,11,289.000,False
healthcare_resource_allocation,0.10,衡水市_2008,300,EB1_MedianTOPSIS,0.999,0.981,1.000,300,0.000,True
healthcare_resource_allocation,0.10,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,1.000,0.986,1.000,300,0.000,True
healthcare_resource_allocation,0.10,衡水市_2008,300,EB3_MADConsensusTOPSIS,1.000,0.988,1.000,300,0.000,True
healthcare_resource_allocation,0.10,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.992,0.920,1.000,275,25.000,False
healthcare_resource_allocation,0.10,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.982,0.975,1.000,17,283.000,False
healthcare_resource_allocation,0.20,衡水市_2008,300,EB1_MedianTOPSIS,0.999,0.978,1.000,299,1.000,False
healthcare_resource_allocation,0.20,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,1.000,0.986,1.000,300,0.000,True
healthcare_resource_allocation,0.20,衡水市_2008,300,EB3_MADConsensusTOPSIS,1.000,0.987,1.000,300,0.000,True
healthcare_resource_allocation,0.20,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.980,0.874,1.000,257,43.000,False
healthcare_resource_allocation,0.20,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.981,0.974,1.000,12,288.000,False
healthcare_resource_allocation,0.30,衡水市_2008,300,EB1_MedianTOPSIS,0.999,0.979,1.000,292,8.000,False
healthcare_resource_allocation,0.30,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,0.996,0.979,1.000,170,130.000,False
healthcare_resource_allocation,0.30,衡水市_2008,300,EB3_MADConsensusTOPSIS,1.000,0.986,1.000,300,0.000,True
healthcare_resource_allocation,0.30,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.960,0.823,0.000,238,62.000,False
healthcare_resource_allocation,0.30,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.981,0.973,1.000,8,292.000,False
healthcare_resource_allocation,0.40,衡水市_2008,300,EB1_MedianTOPSIS,0.999,0.971,1.000,278,22.000,False
healthcare_resource_allocation,0.40,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,0.979,0.969,0.000,1,299.000,False
healthcare_resource_allocation,0.40,衡水市_2008,300,EB3_MADConsensusTOPSIS,0.999,0.984,1.000,300,0.000,True
healthcare_resource_allocation,0.40,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.893,0.712,0.000,179,121.000,False
healthcare_resource_allocation,0.40,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.980,0.970,1.000,5,295.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,EB1_MedianTOPSIS,0.348,0.228,0.000,1,299.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,0.979,0.956,0.000,1,299.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,EB3_MADConsensusTOPSIS,0.978,0.953,0.000,1,299.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.778,0.587,0.000,127,173.000,False
healthcare_resource_allocation,0.50,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.980,0.967,1.000,4,296.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,EB1_MedianTOPSIS,0.348,0.228,0.000,1,299.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,EB2_TrimmedMeanTOPSIS,0.979,0.958,0.000,1,299.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,EB3_MADConsensusTOPSIS,0.978,0.954,0.000,1,299.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,EB4_IndividualBordaTOPSIS,0.713,0.528,0.000,95,205.000,False
healthcare_resource_allocation,0.60,衡水市_2008,300,EB5_HuangLiGroupIdealTOPSIS,0.979,0.965,1.000,3,297.000,False
