evidence_set,dataset,mode,alternatives,criteria,decision_makers,target_alt,clean_target_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,target_rank,target_rank_error,target_rank_error_mean,target_rank_error_std,target_blocked
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M5,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M6,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_beg_rashid,contaminated,4,4,2,A1,4,M7,-0.200±0.000,-0.2,0.0,0.000±0.000,0.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M2,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M4,0.960±0.080,0.96,0.08,0.933±0.133,0.933,0.133,0.800±0.400,0.8,0.4,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M5,0.960±0.080,0.96,0.08,0.933±0.133,0.933,0.133,0.800±0.400,0.8,0.4,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M6,0.800±0.000,0.8,0.0,0.667±0.000,0.667,0.0,0.000±0.000,0.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,clean,4,4,2,A1,4,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4,0.000±0.000,0.0,0.0,True
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M1,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M2,-0.720±0.160,-0.72,0.16,-0.600±0.133,-0.6,0.133,0.000±0.000,0.0,0.0,1,2.800±0.400,2.8,0.4,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M3,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M4,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M5,-0.800±0.000,-0.8,0.0,-0.667±0.000,-0.667,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M6,-1.000±0.000,-1.0,0.0,-1.000±0.000,-1.0,0.0,0.000±0.000,0.0,0.0,1,3.000±0.000,3.0,0.0,False
light_all_datasets_5x50,supplier_wu,contaminated,4,4,2,A1,4,M7,-0.080±0.160,-0.08,0.16,-0.067±0.133,-0.067,0.133,0.000±0.000,0.0,0.0,2,2.200±0.400,2.2,0.4,False
